satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,Loyal Customer,25,Business travel,Business,4031,4,4,4,4,3,3,3,3,5,2,5,4,4,3,0,0.0
1,Loyal Customer,22,Business travel,Business,2558,1,1,1,1,2,2,2,2,3,3,5,4,5,2,0,0.0
1,Loyal Customer,33,Business travel,Business,372,2,2,2,2,5,1,4,5,5,5,5,2,5,5,55,48.0
1,Loyal Customer,48,Business travel,Business,679,2,2,2,2,4,5,4,4,4,4,4,3,4,3,0,0.0
1,disloyal Customer,21,Business travel,Eco,1533,4,4,4,1,1,4,1,1,4,5,4,3,4,1,0,0.0
1,Loyal Customer,34,Business travel,Business,884,4,4,4,4,4,3,5,3,3,3,3,2,3,3,0,0.0
1,Loyal Customer,27,Business travel,Business,1909,4,4,4,4,4,4,4,4,4,4,4,4,5,4,1,0.0
1,Loyal Customer,31,Personal Travel,Eco,2328,1,1,1,1,4,5,5,4,4,4,4,5,4,5,0,0.0
0,Loyal Customer,49,Personal Travel,Eco,2188,2,5,2,3,2,1,2,3,4,5,4,2,3,2,210,204.0
0,Loyal Customer,41,Business travel,Business,3242,2,5,5,5,1,4,4,2,2,2,2,3,2,2,0,0.0
1,disloyal Customer,24,Business travel,Eco,1198,5,0,5,4,3,5,4,3,4,2,5,3,3,3,0,0.0
1,Loyal Customer,40,Business travel,Business,1568,5,5,5,5,5,4,5,5,5,5,5,4,5,4,7,0.0
1,Loyal Customer,25,Business travel,Business,2570,4,4,4,4,5,5,5,5,5,3,5,5,5,5,29,11.0
1,Loyal Customer,70,Personal Travel,Eco,2104,4,4,5,3,5,3,4,2,2,5,2,4,2,1,0,0.0
0,Loyal Customer,28,Business travel,Business,1792,1,4,4,4,1,1,1,1,1,2,4,1,4,1,3,28.0
1,Loyal Customer,49,Personal Travel,Eco,2452,2,2,2,2,5,5,5,5,2,2,1,3,5,5,0,0.0
0,Loyal Customer,17,Personal Travel,Eco,2195,2,5,2,3,2,1,1,3,3,4,4,1,5,1,273,358.0
1,Loyal Customer,39,Business travel,Business,3650,2,2,4,2,5,4,4,4,4,4,4,5,4,3,0,0.0
0,disloyal Customer,54,Business travel,Eco Plus,3940,3,3,3,4,3,3,3,4,4,2,4,3,4,3,0,0.0
1,Loyal Customer,57,Business travel,Business,1624,0,0,0,5,4,5,5,5,5,5,5,5,5,3,12,10.0
0,Loyal Customer,48,Personal Travel,Business,613,4,2,4,2,5,3,3,4,4,4,4,2,4,1,0,0.0
0,Loyal Customer,43,Business travel,Eco Plus,1004,3,4,4,4,1,3,3,3,3,3,3,4,3,4,23,16.0
0,disloyal Customer,37,Business travel,Business,2359,2,2,2,3,4,2,3,4,4,5,5,2,1,4,0,0.0
0,Loyal Customer,70,Personal Travel,Eco,2659,3,2,3,2,2,3,5,2,3,5,2,4,2,2,0,0.0
0,Loyal Customer,33,Personal Travel,Eco,3796,3,5,2,3,2,4,2,3,4,5,5,2,4,2,0,8.0
1,Loyal Customer,41,Personal Travel,Eco,2815,4,4,4,4,2,5,5,5,5,5,5,5,5,3,0,0.0
0,Loyal Customer,46,Business travel,Eco,790,4,5,5,5,1,3,2,3,3,4,3,1,3,2,22,32.0
0,disloyal Customer,29,Business travel,Eco,1857,2,2,3,3,4,3,4,4,2,3,4,4,4,4,1,0.0
0,Loyal Customer,40,Business travel,Business,459,3,1,2,1,5,4,3,3,3,3,3,4,3,2,25,25.0
1,Loyal Customer,59,Business travel,Business,543,3,3,3,3,2,4,5,4,4,4,4,5,4,4,0,0.0
1,Loyal Customer,52,Personal Travel,Eco,2213,0,4,0,1,5,0,5,5,3,2,5,3,4,5,6,3.0
0,disloyal Customer,34,Business travel,Eco,4378,2,2,2,5,5,2,5,5,4,1,3,1,1,5,0,0.0
1,Loyal Customer,66,Personal Travel,Eco,1217,5,5,5,5,3,1,1,4,4,4,4,3,4,2,0,15.0
1,Loyal Customer,44,Business travel,Business,1006,1,1,1,1,5,4,5,5,5,5,5,5,5,5,0,2.0
1,Loyal Customer,44,Business travel,Business,504,5,5,4,5,3,5,1,2,2,2,2,4,2,4,0,0.0
1,Loyal Customer,60,Business travel,Eco Plus,671,4,5,5,5,4,5,5,4,4,4,4,1,4,5,0,0.0
1,Loyal Customer,14,Personal Travel,Eco,1528,5,2,2,2,5,5,5,5,1,1,4,4,5,5,3,15.0
0,Loyal Customer,35,Personal Travel,Eco,1366,4,2,4,3,5,4,5,5,1,5,3,2,3,5,0,0.0
0,Loyal Customer,31,Business travel,Business,3965,3,5,5,5,3,3,3,3,1,1,3,3,3,3,0,5.0
1,Loyal Customer,52,Business travel,Business,1595,3,3,3,3,4,5,5,5,5,5,5,5,5,5,8,0.0
1,Loyal Customer,41,Business travel,Business,3798,2,2,2,2,2,4,4,4,4,4,4,5,4,3,20,2.0
0,Loyal Customer,37,Personal Travel,Business,944,3,1,3,2,5,2,2,4,4,3,4,4,4,1,24,10.0
0,Loyal Customer,57,Personal Travel,Business,1222,4,5,4,1,2,5,4,5,5,4,5,5,5,3,0,0.0
1,Loyal Customer,53,Business travel,Business,218,0,4,0,2,5,1,5,5,5,5,5,5,5,2,0,0.0
1,Loyal Customer,27,Personal Travel,Business,1704,5,2,2,2,2,1,2,5,5,5,5,2,5,1,0,0.0
1,disloyal Customer,28,Business travel,Business,2299,5,5,5,5,3,5,3,3,5,5,4,3,4,3,0,0.0
1,Loyal Customer,40,Business travel,Business,2088,4,4,3,4,3,5,4,4,4,4,4,5,4,5,2,0.0
0,Loyal Customer,60,Personal Travel,Eco,2199,3,5,3,4,3,3,3,3,5,3,4,3,4,3,12,6.0
1,disloyal Customer,27,Business travel,Business,1595,4,4,4,3,3,4,3,3,4,3,5,5,4,3,8,0.0
1,Loyal Customer,41,Business travel,Business,2274,3,3,3,3,5,5,5,4,4,4,4,4,4,4,0,0.0
1,Loyal Customer,45,Business travel,Business,262,0,0,0,4,4,4,4,2,2,2,2,3,2,3,0,0.0
0,Loyal Customer,34,Personal Travel,Eco Plus,2218,3,5,3,3,5,3,4,5,3,2,4,3,5,5,0,0.0
1,Loyal Customer,39,Business travel,Business,1584,3,3,3,3,3,4,5,5,5,5,5,4,5,3,0,0.0
0,Loyal Customer,32,Business travel,Business,4096,1,1,1,1,1,1,1,1,1,2,4,4,3,1,0,0.0
1,Loyal Customer,20,Personal Travel,Eco,1569,5,4,5,2,1,5,1,1,5,3,5,4,5,1,0,0.0
1,Loyal Customer,49,Business travel,Business,588,4,4,4,4,5,4,5,3,3,4,3,5,3,5,0,0.0
0,Loyal Customer,44,Personal Travel,Eco,205,4,5,0,1,3,4,4,4,4,0,2,5,4,5,57,80.0
1,Loyal Customer,19,Personal Travel,Eco,1728,0,0,0,3,3,0,2,3,3,3,4,5,4,3,7,17.0
1,Loyal Customer,33,Business travel,Eco,1776,5,1,1,1,5,5,5,5,1,3,4,1,5,5,3,13.0
1,Loyal Customer,21,Business travel,Business,3558,5,5,5,5,4,4,4,4,4,5,4,4,2,4,0,0.0
1,Loyal Customer,28,Business travel,Business,1403,2,2,2,2,5,5,5,5,1,5,5,3,5,5,0,0.0
0,disloyal Customer,21,Business travel,Eco,1843,3,4,3,5,5,3,5,5,5,2,4,3,4,5,0,0.0
0,Loyal Customer,16,Personal Travel,Eco Plus,1617,3,4,3,2,5,3,1,5,5,2,5,3,4,5,6,4.0
0,disloyal Customer,27,Business travel,Business,2109,4,4,4,4,4,4,4,4,5,3,5,4,5,4,108,93.0
1,Loyal Customer,42,Business travel,Business,784,3,3,4,3,4,4,1,5,5,5,5,2,5,4,0,16.0
0,Loyal Customer,43,Personal Travel,Business,1217,4,4,4,3,3,4,4,2,2,4,2,1,2,3,0,0.0
1,Loyal Customer,49,Business travel,Business,3421,4,4,4,4,2,5,5,5,5,4,5,5,5,3,3,14.0
1,Loyal Customer,46,Business travel,Business,1903,3,3,3,3,2,4,5,4,4,4,4,5,4,4,0,1.0
1,Loyal Customer,57,Business travel,Business,808,5,5,5,5,5,5,5,4,4,4,4,4,4,5,0,0.0
0,Loyal Customer,47,Business travel,Eco,3075,2,2,2,2,2,2,2,2,4,3,4,1,3,2,0,0.0
1,disloyal Customer,25,Business travel,Eco,2457,4,4,4,3,5,4,5,5,2,1,2,2,5,5,0,0.0
1,Loyal Customer,47,Business travel,Business,2177,4,4,4,4,2,4,4,4,4,4,4,4,4,5,5,0.0
0,disloyal Customer,44,Business travel,Business,1247,1,1,1,1,5,1,5,5,5,5,4,4,5,5,0,0.0
0,Loyal Customer,59,Personal Travel,Eco,2753,2,5,2,3,5,2,5,5,3,4,5,3,5,5,27,17.0
1,Loyal Customer,13,Personal Travel,Eco,2715,0,0,0,1,2,1,2,3,3,3,2,3,3,4,0,3.0
1,Loyal Customer,52,Business travel,Business,2752,3,4,3,3,5,5,5,3,5,3,5,5,4,5,1,0.0
1,Loyal Customer,49,Business travel,Business,77,5,5,5,5,3,4,5,5,5,5,4,4,5,3,78,81.0
1,Loyal Customer,69,Business travel,Eco,2261,4,2,2,2,4,4,4,4,4,5,4,5,3,4,10,
1,Loyal Customer,34,Business travel,Business,3771,2,2,2,2,3,4,4,4,4,4,4,3,4,4,0,3.0
0,Loyal Customer,50,Personal Travel,Eco,1780,2,5,2,1,1,2,1,1,4,4,4,3,5,1,0,0.0
0,Loyal Customer,53,Business travel,Eco,1535,3,4,4,4,3,3,3,3,1,3,4,2,3,3,0,0.0
1,Loyal Customer,48,Business travel,Business,2108,1,1,1,1,2,5,4,5,5,5,5,3,5,4,95,77.0
0,disloyal Customer,45,Business travel,Business,1981,1,1,1,4,5,1,2,5,4,3,4,3,4,5,13,0.0
0,disloyal Customer,26,Business travel,Eco,1727,2,3,2,3,3,2,3,3,3,1,4,4,3,3,20,62.0
1,Loyal Customer,47,Business travel,Business,2085,2,2,2,2,5,5,5,4,4,4,4,4,4,4,0,0.0
0,disloyal Customer,30,Business travel,Eco,1357,1,2,1,4,4,1,3,4,2,4,4,2,3,4,21,17.0
1,Loyal Customer,22,Business travel,Eco,1595,4,1,1,1,4,4,5,4,2,3,1,4,4,4,28,45.0
1,Loyal Customer,49,Business travel,Business,3943,1,1,1,1,4,5,4,2,2,2,2,4,2,4,3,0.0
1,Loyal Customer,54,Business travel,Business,3274,4,4,3,4,5,5,5,4,3,5,5,5,4,5,275,262.0
1,Loyal Customer,35,Personal Travel,Eco,3331,4,4,4,1,4,4,4,4,5,2,3,3,5,4,0,0.0
0,Loyal Customer,69,Business travel,Eco,368,1,2,2,2,2,3,4,1,1,1,1,1,1,4,18,31.0
0,disloyal Customer,34,Business travel,Eco,2310,2,2,2,1,5,2,3,5,2,1,5,5,1,5,4,0.0
0,Loyal Customer,60,Personal Travel,Business,1212,2,5,2,4,4,5,5,5,5,2,5,4,5,4,6,0.0
1,Loyal Customer,26,Business travel,Business,3568,3,3,3,3,4,4,4,4,5,4,5,3,5,4,5,0.0
0,Loyal Customer,33,Personal Travel,Eco,2401,4,2,4,4,3,4,2,3,4,4,3,3,4,3,22,64.0
0,Loyal Customer,58,Business travel,Business,296,3,3,5,3,2,3,4,3,3,3,3,1,3,1,0,29.0
0,disloyal Customer,61,Business travel,Eco,1787,2,1,2,4,3,2,3,3,3,5,4,2,3,3,0,0.0
0,Loyal Customer,31,Personal Travel,Eco,2358,4,5,4,3,4,4,4,4,5,3,5,3,4,4,0,0.0
0,Loyal Customer,38,Personal Travel,Eco,1642,3,0,3,1,4,3,4,4,5,4,4,3,5,4,0,0.0
0,Loyal Customer,59,Business travel,Eco,2654,3,3,4,3,3,3,3,3,2,5,3,3,3,3,19,10.0
0,disloyal Customer,31,Business travel,Eco,2883,2,2,2,4,4,2,4,4,4,2,4,3,4,4,15,22.0
0,Loyal Customer,22,Personal Travel,Eco,1896,3,1,3,4,3,3,5,3,3,1,3,2,4,3,6,6.0
1,Loyal Customer,32,Business travel,Business,1499,1,1,1,1,4,4,4,4,5,4,4,5,4,4,21,6.0
1,Loyal Customer,42,Business travel,Business,1490,5,5,5,5,3,5,5,5,5,5,5,3,5,4,42,68.0
1,Loyal Customer,41,Personal Travel,Eco,1133,4,4,4,4,3,4,5,4,4,4,4,5,4,4,0,0.0
1,Loyal Customer,50,Business travel,Business,2193,1,1,1,1,3,5,4,4,4,4,4,3,4,4,0,0.0
1,Loyal Customer,35,Personal Travel,Eco,1463,5,4,5,3,5,4,4,4,4,5,4,5,4,5,5,0.0
0,disloyal Customer,24,Business travel,Eco,2051,2,2,2,3,2,2,2,2,3,5,4,1,4,2,64,63.0
1,Loyal Customer,33,Business travel,Business,1220,5,5,5,5,5,5,4,5,4,4,5,1,2,5,0,0.0
1,Loyal Customer,28,Business travel,Business,4185,1,1,3,1,3,3,3,3,5,5,4,4,4,3,5,10.0
0,Loyal Customer,36,Business travel,Business,2151,3,1,1,1,1,1,2,3,3,3,3,2,3,1,68,57.0
0,Loyal Customer,58,Business travel,Eco,2830,2,4,4,4,2,2,2,2,3,2,4,1,3,2,0,6.0
1,Loyal Customer,52,Personal Travel,Eco,563,5,4,5,2,4,4,5,4,4,5,4,3,4,3,42,28.0
0,disloyal Customer,29,Business travel,Eco,2357,2,2,2,4,1,2,1,1,3,1,3,2,3,1,0,6.0
1,Loyal Customer,42,Business travel,Business,1015,2,2,1,2,3,4,5,4,4,4,4,4,4,5,3,0.0
0,Loyal Customer,56,Business travel,Business,2021,4,4,4,4,3,4,3,1,1,1,4,2,1,1,0,0.0
0,Loyal Customer,59,Business travel,Business,1239,2,2,2,2,2,4,3,2,2,2,2,1,2,1,1,0.0
0,Loyal Customer,38,Business travel,Eco,1190,3,1,1,1,3,3,3,3,3,1,4,3,3,3,0,14.0
0,Loyal Customer,47,Personal Travel,Eco,2561,4,4,4,4,1,4,3,1,1,4,5,3,5,1,0,0.0
0,Loyal Customer,56,Business travel,Business,3377,3,2,2,2,1,3,4,3,3,3,3,4,3,3,0,0.0
1,Loyal Customer,57,Business travel,Business,1853,5,5,4,5,5,5,4,5,5,5,5,5,5,4,32,48.0
0,disloyal Customer,29,Business travel,Eco,2504,1,1,1,3,2,1,4,2,3,2,3,2,4,2,11,13.0
1,Loyal Customer,32,Business travel,Business,3143,5,5,5,5,5,5,5,5,5,2,5,3,4,5,6,0.0
1,Loyal Customer,37,Business travel,Business,1649,2,2,2,2,5,2,3,5,5,5,5,4,5,1,8,0.0
1,Loyal Customer,34,Business travel,Business,3699,4,4,4,4,5,4,5,5,5,5,5,3,5,3,0,0.0
0,Loyal Customer,48,Business travel,Eco,440,1,4,4,4,2,3,2,1,1,1,1,1,1,4,58,62.0
1,Loyal Customer,41,Business travel,Business,1861,1,1,1,1,4,5,5,4,4,4,4,4,4,5,38,22.0
1,Loyal Customer,29,Personal Travel,Eco,3794,1,1,4,1,4,4,5,4,4,4,5,2,4,1,0,0.0
1,Loyal Customer,31,Personal Travel,Eco,2649,4,4,4,4,5,5,5,5,5,4,5,3,4,5,14,0.0
1,Loyal Customer,39,Business travel,Business,1621,3,3,4,3,3,2,1,4,4,4,4,2,4,5,0,0.0
1,Loyal Customer,25,Personal Travel,Eco,2370,3,3,3,3,3,5,5,3,3,3,3,5,3,4,0,0.0
1,Loyal Customer,39,Business travel,Business,2675,3,3,3,3,5,4,4,4,4,5,4,3,4,3,0,17.0
0,disloyal Customer,23,Business travel,Eco,1222,2,0,3,3,2,3,2,2,5,3,2,3,1,2,0,0.0
0,disloyal Customer,24,Business travel,Eco,2381,2,2,2,4,4,2,4,4,4,1,3,5,2,4,14,18.0
1,Loyal Customer,49,Business travel,Business,2596,5,5,5,5,5,5,5,4,5,5,4,5,3,5,60,51.0
1,Loyal Customer,44,Business travel,Business,1158,1,1,1,1,2,4,4,4,4,5,4,5,4,3,7,0.0
0,Loyal Customer,45,Business travel,Business,1564,2,2,2,2,3,3,4,2,2,2,2,1,2,4,8,18.0
1,disloyal Customer,21,Business travel,Business,2018,5,0,5,1,2,5,2,2,5,3,4,5,4,2,0,0.0
1,Loyal Customer,41,Business travel,Business,470,3,3,3,3,3,4,5,4,4,4,4,3,4,5,0,0.0
1,Loyal Customer,56,Personal Travel,Business,592,3,3,3,3,2,1,4,4,4,4,4,3,4,4,0,0.0
1,Loyal Customer,32,Business travel,Business,2657,3,3,3,3,2,2,2,3,4,4,5,2,4,2,135,136.0
1,Loyal Customer,35,Personal Travel,Eco,1185,5,5,1,5,3,3,3,3,4,4,3,1,2,3,0,0.0
0,Loyal Customer,80,Business travel,Business,3381,2,3,3,3,4,3,4,2,2,3,2,2,2,4,56,51.0
0,disloyal Customer,38,Business travel,Eco,1778,3,3,3,4,5,3,5,5,4,4,3,1,4,5,0,0.0
0,Loyal Customer,59,Personal Travel,Eco,1550,4,5,4,3,5,4,5,5,3,3,3,3,4,5,0,0.0
0,Loyal Customer,29,Personal Travel,Eco,1648,3,5,0,2,2,0,2,2,4,4,5,5,4,2,0,0.0
1,Loyal Customer,45,Business travel,Eco Plus,2100,5,3,2,3,5,5,5,5,3,1,5,2,2,5,0,0.0
1,Loyal Customer,34,Business travel,Business,3548,3,3,3,3,3,4,3,5,5,5,5,5,5,2,23,30.0
1,Loyal Customer,52,Business travel,Business,2185,3,3,3,3,5,4,4,4,4,4,4,4,4,4,0,2.0
1,Loyal Customer,59,Business travel,Business,381,5,5,5,5,5,4,4,5,5,5,5,4,5,4,0,0.0
1,Loyal Customer,41,Business travel,Business,1928,1,1,1,1,3,4,5,4,4,4,4,5,4,3,0,0.0
0,Loyal Customer,45,Personal Travel,Eco,1989,1,5,1,3,1,1,1,1,2,5,4,3,1,1,0,0.0
1,Loyal Customer,32,Business travel,Business,2803,0,5,0,4,2,2,2,2,3,3,4,5,5,2,0,0.0
1,Loyal Customer,41,Business travel,Business,1652,4,4,4,4,2,5,5,4,4,4,4,3,4,5,0,4.0
1,Loyal Customer,57,Business travel,Business,3938,5,5,5,5,4,5,5,4,4,4,4,3,4,4,0,0.0
1,Loyal Customer,47,Business travel,Business,4017,2,2,2,2,2,5,4,5,5,5,5,4,5,3,0,0.0
1,Loyal Customer,57,Business travel,Eco Plus,56,3,4,4,4,2,1,2,4,4,3,4,5,4,1,0,0.0
0,disloyal Customer,22,Business travel,Eco,2069,1,2,2,1,4,2,4,4,5,4,4,4,4,4,0,0.0
1,Loyal Customer,51,Business travel,Business,3272,5,5,5,5,3,5,5,5,5,5,5,3,5,5,0,0.0
0,Loyal Customer,51,Personal Travel,Eco,1965,4,4,4,2,4,4,4,4,5,2,4,5,5,4,13,22.0
0,Loyal Customer,48,Personal Travel,Eco,714,1,3,1,3,4,1,4,4,3,2,3,2,4,4,0,4.0
0,disloyal Customer,24,Business travel,Eco,1234,3,0,4,4,5,4,5,5,4,3,4,1,2,5,0,11.0
0,Loyal Customer,27,Personal Travel,Eco Plus,2802,4,3,4,3,5,4,5,5,2,1,4,4,3,5,0,0.0
0,Loyal Customer,30,Business travel,Eco,2080,1,1,1,1,1,1,1,1,4,1,3,3,3,1,61,64.0
0,Loyal Customer,64,Business travel,Business,2688,1,3,3,3,1,1,1,4,5,3,4,1,2,1,118,194.0
1,Loyal Customer,51,Business travel,Eco,1882,2,4,4,4,2,2,2,2,4,5,4,4,3,2,3,23.0
1,Loyal Customer,46,Personal Travel,Eco,2218,1,1,3,1,4,5,5,5,5,5,5,4,5,4,3,0.0
1,Loyal Customer,44,Business travel,Business,1897,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0
1,Loyal Customer,28,Business travel,Business,3596,3,3,3,3,4,4,4,4,4,4,4,4,4,4,24,18.0
1,Loyal Customer,45,Business travel,Business,2656,1,1,2,1,1,3,2,5,5,5,5,5,5,5,2,0.0
0,Loyal Customer,37,Business travel,Eco Plus,2058,2,5,5,5,2,2,2,2,3,3,4,3,4,2,0,0.0
0,Loyal Customer,55,Personal Travel,Eco,2613,3,4,4,3,4,4,4,4,3,5,4,1,4,4,0,0.0
