satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,Loyal Customer,48,Business travel,Business,1709,4,4,4,4,5,5,4,4,4,4,4,4,4,5,0,0.0
0,Loyal Customer,52,Personal Travel,Eco,1724,2,4,2,3,1,2,1,1,3,2,3,3,4,1,54,40.0
1,Loyal Customer,41,Business travel,Business,1951,2,2,2,2,5,5,4,4,4,4,4,4,4,3,0,20.0
1,Loyal Customer,33,Business travel,Eco,1057,4,2,5,2,5,5,5,5,3,2,1,3,4,5,4,0.0
1,disloyal Customer,23,Business travel,Eco,1973,0,1,0,1,1,0,1,1,5,4,5,4,5,1,0,0.0
0,Loyal Customer,49,Personal Travel,Eco,2541,3,3,3,4,3,2,2,4,5,4,4,2,1,2,128,161.0
0,Loyal Customer,17,Personal Travel,Eco,1344,4,4,4,3,5,4,5,5,4,5,4,5,5,5,0,0.0
1,Loyal Customer,38,Personal Travel,Eco,2180,4,5,4,1,5,4,1,5,5,2,5,3,5,5,0,0.0
1,Loyal Customer,57,Business travel,Eco,1894,4,5,5,5,4,4,4,4,3,5,3,5,2,4,0,0.0
1,Loyal Customer,25,Personal Travel,Eco,1458,4,2,2,2,4,4,4,4,2,4,2,2,1,4,41,42.0
1,disloyal Customer,21,Business travel,Business,1205,4,5,4,4,3,4,4,3,4,4,4,4,4,3,0,0.0
0,disloyal Customer,18,Business travel,Eco,1996,2,2,2,3,3,2,3,3,1,3,3,2,4,3,7,12.0
1,Loyal Customer,67,Personal Travel,Eco,394,1,1,1,1,2,4,4,3,3,4,4,3,3,3,13,4.0
1,Loyal Customer,20,Personal Travel,Eco,2812,4,4,5,4,3,4,5,4,4,4,4,5,4,5,6,7.0
1,Loyal Customer,55,Business travel,Business,2117,5,5,3,5,3,3,4,4,4,4,4,4,4,4,0,0.0
1,Loyal Customer,51,Business travel,Business,2205,5,5,5,5,3,5,5,5,5,5,5,3,5,3,0,5.0
1,Loyal Customer,35,Business travel,Business,978,5,5,5,5,4,4,1,4,4,4,4,5,4,1,0,0.0
1,Loyal Customer,22,Personal Travel,Eco,1193,3,3,3,3,1,3,5,4,4,4,4,1,4,4,0,0.0
0,disloyal Customer,28,Business travel,Eco,1937,2,0,2,3,1,2,1,1,5,5,5,1,4,1,0,0.0
1,Loyal Customer,23,Business travel,Eco,2408,0,5,0,4,3,0,4,3,2,4,2,3,2,3,0,0.0
0,disloyal Customer,56,Business travel,Business,1284,2,2,2,3,3,2,3,3,4,3,3,3,4,3,0,0.0
1,Loyal Customer,49,Business travel,Business,2118,1,1,1,1,2,5,5,4,4,5,4,4,4,5,0,0.0
1,Loyal Customer,58,Business travel,Business,2704,4,4,3,4,2,4,4,4,4,4,4,4,4,4,3,26.0
1,Loyal Customer,27,Personal Travel,Eco,2968,5,5,2,5,5,5,4,3,3,4,3,3,3,4,34,3.0
1,Loyal Customer,33,Business travel,Eco,1363,5,3,3,3,5,4,5,5,1,1,4,1,4,5,0,0.0
1,Loyal Customer,39,Personal Travel,Eco,2899,5,5,5,5,5,5,5,4,4,4,4,4,4,5,0,0.0
1,Loyal Customer,55,Business travel,Business,1631,0,4,0,3,4,5,4,2,2,2,2,4,2,3,25,15.0
0,Loyal Customer,69,Personal Travel,Eco,1477,2,0,2,5,2,2,2,2,4,4,5,5,5,2,0,0.0
1,Loyal Customer,42,Business travel,Business,3123,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10.0
0,Loyal Customer,35,Business travel,Eco,1598,2,2,2,2,2,2,2,2,1,3,4,3,4,2,2,0.0
1,Loyal Customer,33,Business travel,Eco Plus,1253,0,0,0,4,5,0,5,5,1,4,4,3,2,5,0,0.0
1,Loyal Customer,30,Business travel,Business,2279,2,4,2,2,5,5,5,5,5,5,1,4,3,5,8,0.0
1,Loyal Customer,60,Business travel,Business,646,2,2,2,2,3,5,5,4,4,4,4,5,4,4,5,0.0
1,Loyal Customer,39,Business travel,Business,3454,1,1,1,1,5,4,5,4,4,4,4,4,4,5,0,0.0
1,Loyal Customer,24,Business travel,Business,3428,4,4,4,4,5,5,5,5,5,4,4,4,5,5,0,0.0
1,Loyal Customer,53,Business travel,Business,1815,2,2,2,2,4,4,5,5,5,5,5,5,5,5,0,0.0
1,Loyal Customer,15,Personal Travel,Eco,1312,0,4,0,5,5,0,5,5,4,2,5,5,4,5,13,7.0
1,Loyal Customer,42,Business travel,Business,262,3,3,3,3,2,4,4,4,4,5,4,5,4,3,0,0.0
0,disloyal Customer,21,Business travel,Eco,2394,1,1,1,3,1,1,2,1,4,1,3,1,4,1,0,0.0
1,Loyal Customer,26,Business travel,Business,1689,2,2,2,2,4,4,4,4,3,4,5,5,4,4,0,0.0
1,Loyal Customer,59,Business travel,Business,463,4,4,4,4,3,4,5,4,4,4,4,5,4,5,0,0.0
1,Loyal Customer,39,Business travel,Business,3395,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,0.0
1,Loyal Customer,62,Personal Travel,Eco,630,2,2,2,2,5,4,5,5,5,5,5,3,5,3,34,25.0
1,Loyal Customer,69,Personal Travel,Eco,934,4,4,4,4,4,4,4,4,4,4,5,3,4,5,5,0.0
1,Loyal Customer,56,Personal Travel,Eco,309,1,1,1,1,5,4,4,4,4,4,4,5,4,3,0,0.0
0,Loyal Customer,57,Business travel,Business,2591,1,4,4,4,3,4,4,1,1,2,1,4,1,2,7,8.0
1,Loyal Customer,51,Business travel,Business,999,4,4,4,4,5,4,5,5,5,5,5,5,5,3,0,0.0
1,disloyal Customer,23,Business travel,Eco,2348,4,4,4,3,1,4,1,1,4,3,4,5,4,1,14,1.0
0,disloyal Customer,21,Business travel,Eco,2415,2,1,2,3,2,2,2,2,4,5,3,2,3,2,30,27.0
1,Loyal Customer,11,Personal Travel,Eco,1061,4,3,3,3,4,5,2,4,4,4,4,3,4,2,0,0.0
0,disloyal Customer,12,Business travel,Eco,1665,2,2,2,3,5,2,5,5,3,2,4,1,3,5,84,78.0
1,Loyal Customer,53,Personal Travel,Eco,85,0,5,0,4,3,4,5,2,2,0,2,3,2,5,0,0.0
1,Loyal Customer,40,Business travel,Eco,1361,5,2,2,2,5,5,5,5,4,1,4,1,3,5,0,0.0
1,Loyal Customer,32,Personal Travel,Eco,2165,2,2,4,2,5,5,5,5,3,5,5,5,5,5,0,0.0
1,Loyal Customer,34,Personal Travel,Eco,1507,3,3,3,3,3,5,4,5,5,5,5,5,5,3,0,0.0
1,Loyal Customer,44,Business travel,Business,2598,2,2,3,2,5,5,5,3,4,4,5,5,4,5,0,5.0
1,Loyal Customer,22,Business travel,Business,4466,3,3,3,3,3,3,3,3,1,4,3,2,5,3,0,0.0
0,Loyal Customer,66,Personal Travel,Eco,2516,2,4,2,1,5,2,2,5,4,2,4,4,5,5,0,0.0
1,Loyal Customer,60,Personal Travel,Eco,792,3,3,3,3,2,4,4,4,4,4,4,4,4,5,61,56.0
1,Loyal Customer,29,Business travel,Business,2062,5,5,5,5,5,5,5,5,3,2,5,4,5,5,0,0.0
0,disloyal Customer,33,Business travel,Business,1956,3,3,3,5,5,3,5,5,4,5,5,3,4,5,0,0.0
0,Loyal Customer,57,Business travel,Business,2625,3,2,2,2,2,4,3,3,3,2,3,1,3,1,0,0.0
1,Loyal Customer,17,Business travel,Business,5143,5,3,5,5,2,3,2,2,2,2,2,1,5,2,30,22.0
1,Loyal Customer,44,Personal Travel,Eco,407,5,5,5,5,2,4,5,5,5,5,5,4,5,3,7,0.0
0,Loyal Customer,31,Personal Travel,Eco,2586,2,3,2,3,5,2,5,5,1,1,3,3,4,5,16,44.0
1,Loyal Customer,26,Business travel,Business,4770,1,1,1,1,2,3,2,2,3,3,5,3,4,2,0,0.0
0,Loyal Customer,40,Personal Travel,Eco,1826,2,5,2,1,1,2,1,1,5,5,5,5,5,1,0,0.0
1,Loyal Customer,47,Business travel,Business,407,5,5,5,5,3,4,5,5,5,5,5,5,5,4,0,0.0
1,Loyal Customer,45,Business travel,Business,1039,2,3,2,2,5,5,4,5,5,5,5,3,5,3,4,3.0
1,Loyal Customer,32,Business travel,Eco Plus,1101,0,0,0,1,1,0,1,1,5,4,2,5,3,1,0,0.0
1,Loyal Customer,11,Personal Travel,Eco,2332,4,4,4,4,3,4,4,4,4,4,4,3,4,4,20,10.0
0,Loyal Customer,77,Business travel,Eco Plus,311,2,5,5,5,3,4,4,2,2,2,2,3,2,3,0,0.0
1,Loyal Customer,43,Business travel,Business,1816,5,5,5,5,3,5,5,5,5,5,5,3,5,3,0,19.0
1,Loyal Customer,28,Personal Travel,Eco,1939,5,4,5,3,3,5,3,3,3,4,3,2,4,3,0,0.0
0,disloyal Customer,34,Business travel,Eco,1727,3,2,3,4,4,3,5,4,3,1,4,1,3,4,37,27.0
0,disloyal Customer,25,Business travel,Eco,1888,2,3,2,1,5,2,5,5,1,1,2,5,4,5,0,0.0
1,Loyal Customer,31,Personal Travel,Eco,1295,4,4,4,5,4,4,4,4,5,3,4,5,5,4,0,0.0
1,Loyal Customer,54,Business travel,Business,3166,3,3,5,3,5,5,5,4,4,4,4,5,4,4,2,2.0
1,Loyal Customer,58,Business travel,Business,3557,5,5,4,5,4,5,4,4,4,4,4,4,4,5,9,2.0
1,disloyal Customer,37,Business travel,Business,2575,5,5,5,3,1,5,1,1,4,3,5,3,5,1,1,0.0
1,Loyal Customer,56,Business travel,Business,565,5,5,5,5,4,4,4,2,2,2,2,5,2,5,0,0.0
